train_loss,grad_2.0_norm_net.nodevec1,grad_2.0_norm_net.nodevec2,grad_2.0_norm_net.filter_convs.0.weight,grad_2.0_norm_net.filter_convs.0.bias,grad_2.0_norm_net.filter_convs.1.weight,grad_2.0_norm_net.filter_convs.1.bias,grad_2.0_norm_net.filter_convs.2.weight,grad_2.0_norm_net.filter_convs.2.bias,grad_2.0_norm_net.filter_convs.3.weight,grad_2.0_norm_net.filter_convs.3.bias,grad_2.0_norm_net.filter_convs.4.weight,grad_2.0_norm_net.filter_convs.4.bias,grad_2.0_norm_net.filter_convs.5.weight,grad_2.0_norm_net.filter_convs.5.bias,grad_2.0_norm_net.filter_convs.6.weight,grad_2.0_norm_net.filter_convs.6.bias,grad_2.0_norm_net.filter_convs.7.weight,grad_2.0_norm_net.filter_convs.7.bias,grad_2.0_norm_net.gate_convs.0.weight,grad_2.0_norm_net.gate_convs.0.bias,grad_2.0_norm_net.gate_convs.1.weight,grad_2.0_norm_net.gate_convs.1.bias,grad_2.0_norm_net.gate_convs.2.weight,grad_2.0_norm_net.gate_convs.2.bias,grad_2.0_norm_net.gate_convs.3.weight,grad_2.0_norm_net.gate_convs.3.bias,grad_2.0_norm_net.gate_convs.4.weight,grad_2.0_norm_net.gate_convs.4.bias,grad_2.0_norm_net.gate_convs.5.weight,grad_2.0_norm_net.gate_convs.5.bias,grad_2.0_norm_net.gate_convs.6.weight,grad_2.0_norm_net.gate_convs.6.bias,grad_2.0_norm_net.gate_convs.7.weight,grad_2.0_norm_net.gate_convs.7.bias,grad_2.0_norm_net.skip_convs.0.weight,grad_2.0_norm_net.skip_convs.0.bias,grad_2.0_norm_net.skip_convs.1.weight,grad_2.0_norm_net.skip_convs.1.bias,grad_2.0_norm_net.skip_convs.2.weight,grad_2.0_norm_net.skip_convs.2.bias,grad_2.0_norm_net.skip_convs.3.weight,grad_2.0_norm_net.skip_convs.3.bias,grad_2.0_norm_net.skip_convs.4.weight,grad_2.0_norm_net.skip_convs.4.bias,grad_2.0_norm_net.skip_convs.5.weight,grad_2.0_norm_net.skip_convs.5.bias,grad_2.0_norm_net.skip_convs.6.weight,grad_2.0_norm_net.skip_convs.6.bias,grad_2.0_norm_net.skip_convs.7.weight,grad_2.0_norm_net.skip_convs.7.bias,grad_2.0_norm_net.bn.0.weight,grad_2.0_norm_net.bn.0.bias,grad_2.0_norm_net.bn.1.weight,grad_2.0_norm_net.bn.1.bias,grad_2.0_norm_net.bn.2.weight,grad_2.0_norm_net.bn.2.bias,grad_2.0_norm_net.bn.3.weight,grad_2.0_norm_net.bn.3.bias,grad_2.0_norm_net.bn.4.weight,grad_2.0_norm_net.bn.4.bias,grad_2.0_norm_net.bn.5.weight,grad_2.0_norm_net.bn.5.bias,grad_2.0_norm_net.bn.6.weight,grad_2.0_norm_net.bn.6.bias,grad_2.0_norm_net.gconv.0.mlp.mlp.weight,grad_2.0_norm_net.gconv.0.mlp.mlp.bias,grad_2.0_norm_net.gconv.1.mlp.mlp.weight,grad_2.0_norm_net.gconv.1.mlp.mlp.bias,grad_2.0_norm_net.gconv.2.mlp.mlp.weight,grad_2.0_norm_net.gconv.2.mlp.mlp.bias,grad_2.0_norm_net.gconv.3.mlp.mlp.weight,grad_2.0_norm_net.gconv.3.mlp.mlp.bias,grad_2.0_norm_net.gconv.4.mlp.mlp.weight,grad_2.0_norm_net.gconv.4.mlp.mlp.bias,grad_2.0_norm_net.gconv.5.mlp.mlp.weight,grad_2.0_norm_net.gconv.5.mlp.mlp.bias,grad_2.0_norm_net.gconv.6.mlp.mlp.weight,grad_2.0_norm_net.gconv.6.mlp.mlp.bias,grad_2.0_norm_net.start_conv.weight,grad_2.0_norm_net.start_conv.bias,grad_2.0_norm_net.end_conv_1.weight,grad_2.0_norm_net.end_conv_1.bias,grad_2.0_norm_net.end_conv_2.weight,grad_2.0_norm_net.end_conv_2.bias,grad_2.0_norm_total,epoch,created_at
0.17647868394851685,0.0005,0.0009,0.0356,0.0063,0.0255,0.0045,0.0226,0.005,0.0266,0.0056,0.0199,0.0045,0.0247,0.0059,0.0229,0.0053,0.0185,0.0036,0.0049,0.001,0.0048,0.0007,0.0062,0.001,0.0066,0.0008,0.0062,0.0007,0.0079,0.001,0.0068,0.0009,0.005,0.0007,0.0114,0.0143,0.0128,0.0143,0.0136,0.0143,0.0141,0.0143,0.0127,0.0143,0.0145,0.0143,0.0146,0.0143,0.0128,0.0143,0.0028,0.0029,0.0024,0.003,0.0022,0.0038,0.002,0.0031,0.0024,0.0045,0.0028,0.0045,0.0015,0.0021,0.0286,0.0041,0.0154,0.0007,0.015,0.0005,0.0106,0.0005,0.0093,0.0002,0.007,0.0002,0.0041,0.0001,0.0204,0.0041,0.1102,0.0219,0.2557,0.0631,0.3044,0,2020-11-24 17:47:04.137434
0.1600763350725174,0.0003,0.0006,0.086,0.0064,0.0603,0.0054,0.0526,0.0047,0.0561,0.0053,0.0392,0.0037,0.0502,0.0048,0.0485,0.0052,0.0348,0.0042,0.0103,0.0016,0.0078,0.0015,0.0078,0.0016,0.0076,0.0015,0.0075,0.0011,0.0082,0.0016,0.0072,0.0015,0.0047,0.0009,0.0174,0.0145,0.0201,0.0145,0.0241,0.0145,0.0219,0.0145,0.0197,0.0145,0.0187,0.0145,0.0237,0.0145,0.0165,0.0145,0.0055,0.0031,0.0052,0.003,0.0039,0.0035,0.0037,0.0026,0.0052,0.0037,0.0042,0.0043,0.0023,0.0023,0.0689,0.0032,0.0407,0.0006,0.0451,0.0004,0.0311,0.0004,0.0219,0.0003,0.0136,0.0002,0.0064,0.0001,0.0796,0.004,0.1261,0.0159,0.3204,0.0245,0.4079,0,2020-11-24 17:47:12.749900
0.09450528770685196,0.0001,0.0002,0.0382,0.0114,0.0228,0.0089,0.0175,0.0068,0.0179,0.0074,0.0132,0.006,0.0159,0.007,0.0146,0.0072,0.0135,0.0052,0.005,0.0009,0.0069,0.0006,0.0068,0.0005,0.0066,0.0007,0.0059,0.0003,0.007,0.0008,0.0067,0.0005,0.0037,0.0004,0.0121,0.0191,0.0111,0.0191,0.0103,0.0191,0.0121,0.0191,0.009,0.0191,0.0119,0.0191,0.0116,0.0191,0.0092,0.0191,0.0024,0.0065,0.0015,0.0043,0.0015,0.0055,0.0011,0.0041,0.0017,0.0061,0.0013,0.006,0.001,0.0029,0.0161,0.0016,0.0075,0.0005,0.0073,0.0004,0.0059,0.0003,0.0042,0.0003,0.0034,0.0002,0.002,0.0001,0.0122,0.0098,0.1002,0.0231,0.2525,0.0837,0.3006,0,2020-11-24 17:47:21.377480
0.12226516753435135,0.0002,0.0004,0.0988,0.025,0.0617,0.0128,0.0461,0.011,0.0466,0.0104,0.0389,0.0101,0.0409,0.0101,0.0282,0.0101,0.0357,0.0081,0.0181,0.0017,0.0212,0.0015,0.023,0.0013,0.0188,0.0016,0.0246,0.0015,0.0227,0.0015,0.0249,0.0017,0.0135,0.0012,0.0341,0.0339,0.0358,0.0339,0.037,0.0339,0.0414,0.0339,0.034,0.0339,0.0417,0.0339,0.0384,0.0339,0.0292,0.0339,0.0054,0.0097,0.0043,0.0073,0.0042,0.0081,0.0028,0.0072,0.0048,0.0085,0.0025,0.0085,0.0027,0.0044,0.0427,0.0026,0.0204,0.0005,0.0191,0.0005,0.0152,0.0004,0.0102,0.0003,0.0073,0.0003,0.005,0.0002,0.0482,0.0256,0.2469,0.0387,0.6386,0.1465,0.7391,0,2020-11-24 17:47:30.014056
0.2904147207736969,0.0006,0.0011,0.0497,0.0077,0.0394,0.0032,0.0266,0.0032,0.0378,0.0035,0.0243,0.003,0.0354,0.0037,0.0245,0.0034,0.0304,0.0033,0.0112,0.0017,0.0157,0.0014,0.0067,0.0007,0.0126,0.0011,0.0116,0.001,0.0114,0.0009,0.0121,0.0011,0.0094,0.0009,0.0219,0.0124,0.0258,0.0124,0.0169,0.0124,0.0269,0.0124,0.0162,0.0124,0.0248,0.0124,0.0238,0.0124,0.0212,0.0124,0.0047,0.0028,0.0025,0.0023,0.0038,0.0026,0.0022,0.002,0.0037,0.003,0.0026,0.0023,0.0025,0.0019,0.0409,0.0018,0.0203,0.001,0.0147,0.0006,0.0149,0.0006,0.0093,0.0005,0.0067,0.0003,0.0054,0.0002,0.033,0.0092,0.1422,0.0151,0.3857,0.0238,0.4356,0,2020-11-24 17:47:38.663024
0.09367907792329788,0.0002,0.0003,0.0899,0.0183,0.0407,0.0077,0.0324,0.0064,0.0341,0.0065,0.03,0.0062,0.0293,0.0063,0.0261,0.0059,0.0299,0.005,0.0187,0.0019,0.0138,0.0009,0.0143,0.001,0.012,0.001,0.015,0.001,0.0136,0.0009,0.0153,0.0011,0.0101,0.0008,0.0295,0.0227,0.0267,0.0227,0.0263,0.0227,0.0286,0.0227,0.0218,0.0227,0.0302,0.0227,0.0269,0.0227,0.0209,0.0227,0.0038,0.0055,0.0028,0.0044,0.0028,0.005,0.002,0.004,0.0033,0.0051,0.0018,0.0044,0.0023,0.0029,0.0447,0.0015,0.0167,0.0004,0.0154,0.0004,0.0126,0.0003,0.0093,0.0003,0.0067,0.0001,0.004,0.0001,0.0493,0.022,0.1637,0.0247,0.4095,0.0991,0.488,0,2020-11-24 17:47:47.318306
0.18802900612354279,0.0003,0.0005,0.0522,0.0058,0.025,0.0023,0.0214,0.0024,0.0194,0.0024,0.0196,0.0022,0.0238,0.0024,0.0213,0.0026,0.0201,0.002,0.0177,0.0021,0.0135,0.0009,0.0107,0.0007,0.0123,0.0008,0.0175,0.0011,0.0111,0.0008,0.0163,0.001,0.0146,0.001,0.0293,0.0099,0.0248,0.0099,0.025,0.0099,0.0299,0.0099,0.0208,0.0099,0.0316,0.0099,0.0241,0.0099,0.0253,0.0099,0.0028,0.0016,0.002,0.0018,0.002,0.0018,0.0022,0.0017,0.0026,0.0021,0.002,0.0019,0.0017,0.0013,0.0309,0.0015,0.015,0.0005,0.0126,0.0005,0.0124,0.0003,0.0077,0.0003,0.0074,0.0002,0.0033,0.0001,0.0312,0.0047,0.1394,0.0109,0.3555,0.0141,0.4037,1,2020-11-24 17:48:05.146420
0.16873328387737274,0.0002,0.0004,0.0509,0.007,0.027,0.0039,0.019,0.0027,0.0294,0.0026,0.0173,0.0022,0.0244,0.0026,0.0229,0.0023,0.0179,0.0024,0.0099,0.0014,0.0072,0.0009,0.0057,0.0006,0.0069,0.0009,0.0063,0.0005,0.0101,0.0012,0.0065,0.0008,0.0061,0.0005,0.0123,0.0083,0.0122,0.0083,0.011,0.0083,0.015,0.0083,0.0108,0.0083,0.0168,0.0083,0.0142,0.0083,0.0145,0.0083,0.0029,0.0033,0.002,0.0018,0.0024,0.0021,0.0015,0.0013,0.0029,0.0019,0.0016,0.0015,0.0012,0.0016,0.0461,0.0011,0.0182,0.0005,0.0151,0.0003,0.0138,0.0003,0.01,0.0003,0.01,0.0002,0.005,0.0001,0.0286,0.0095,0.0724,0.011,0.1916,0.0469,0.2391,1,2020-11-24 17:48:13.799001
0.08782586455345154,0.0001,0.0002,0.0182,0.0032,0.0115,0.0017,0.0092,0.0017,0.0099,0.0016,0.0083,0.0011,0.0073,0.0018,0.0094,0.0012,0.0067,0.0012,0.0042,0.001,0.0026,0.0004,0.0025,0.0004,0.0029,0.0003,0.0018,0.0002,0.0021,0.0006,0.0023,0.0003,0.0015,0.0002,0.0063,0.0055,0.0051,0.0055,0.005,0.0055,0.0053,0.0055,0.0044,0.0055,0.0067,0.0055,0.006,0.0055,0.0048,0.0055,0.001,0.0014,0.0007,0.0011,0.0011,0.0013,0.0007,0.0007,0.0008,0.0015,0.0009,0.001,0.0005,0.0008,0.01,0.001,0.0043,0.0003,0.0037,0.0002,0.0037,0.0003,0.0024,0.0002,0.0025,0.0001,0.0014,0.0001,0.0075,0.0026,0.0401,0.0076,0.1254,0.0223,0.14,1,2020-11-24 17:48:22.459763
0.10477431863546371,0.0002,0.0003,0.0615,0.0129,0.0399,0.0044,0.0277,0.0036,0.042,0.0041,0.0222,0.0025,0.0246,0.0024,0.0273,0.0027,0.0193,0.0019,0.0155,0.0016,0.013,0.0006,0.0119,0.0005,0.0119,0.0007,0.0165,0.0009,0.0169,0.0007,0.017,0.0008,0.007,0.0004,0.0183,0.0131,0.0152,0.0131,0.0195,0.0131,0.0222,0.0131,0.0178,0.0131,0.0188,0.0131,0.0227,0.0131,0.0162,0.0131,0.0031,0.0032,0.002,0.0023,0.0038,0.0028,0.0022,0.0017,0.0029,0.002,0.0019,0.002,0.0013,0.0013,0.0308,0.0022,0.0133,0.0004,0.0116,0.0003,0.0099,0.0003,0.0064,0.0002,0.0047,0.0001,0.0032,0.0001,0.0285,0.0182,0.0871,0.0148,0.2144,0.0624,0.2767,1,2020-11-24 17:48:31.106272
